	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Beam_Seconds	Beam_Seconds_Int2SE	U238_V	U238_V_Int2SE	Th232_V	Th232_V_Int2SE	U234_cps	U234_cps_Int2SE	Th230_cps	Th230_cps_Int2SE	U234_U238	U234_U238_Int2SE	Th230_U238	Th230_U238_Int2SE	Th232_U238	Th232_U238_Int2SE	Th_ppm	Th_ppm_Int2SE	U_ppm	U_ppm_Int2SE	U234_U238_CORR	U234_U238_CORR_Int2SE	Th230_U238_CORR	Th230_U238_CORR_Int2SE	Th232_U238_CORR	Th232_U238_CORR_Int2SE
MK16_8	Th-U laser_long.FIN_	21/03/2018 (4) 07:09:14.26	21/03/2018 (4)	07:09:14.26	111.98	MK16(9)	26	Normal	1	-1945	13	0.0442	0.0025	0.0000140	0.0000062	169	10	31.5	2.2	1.115	0.016	0.676	0.026	0.00030	0.00013	0.00045	0.00020	1.404	0.079	1.090	0.016	0.754	0.029	0.000099	0.000045
																																			
PB_T1_0	Th-U laser_long.FIN_	21/03/2018 (4) 05:22:50.07	21/03/2018 (4)	05:22:50.07	113.53	PB_T1	27	Normal	1	-8328	13	0.0562	0.0054	0.0037	0.0015	229	23	9	10	1.190	0.022	0.106	0.084	0.0522	0.0090	0.121	0.050	1.79	0.17	1.162	0.021	0.116	0.093	0.0174	0.0030
PB_T1_1	Th-U laser_long.FIN_	21/03/2018 (4) 05:26:05.33	21/03/2018 (4)	05:26:05.33	111.19	PB_T1(1)	27	Normal	1	-8135	13	0.0625	0.0021	0.001568	0.000099	253.2	8.2	3.36	0.45	1.185	0.011	0.0511	0.0069	0.02496	0.00090	0.0509	0.0032	1.989	0.066	1.158	0.011	0.0562	0.0076	0.00833	0.00030
PB_T1_2	Th-U laser_long.FIN_	21/03/2018 (4) 05:29:18.19	21/03/2018 (4)	05:29:18.19	112.3	PB_T1(2)	27	Normal	1	-7939	13	0.03077	0.00098	0.000259	0.000019	126.3	4.1	1.8	1.3	1.191	0.027	0.056	0.040	0.00833	0.00040	0.00842	0.00061	0.979	0.031	1.166	0.026	0.062	0.044	0.00278	0.00013
PB_T1_3	Th-U laser_long.FIN_	21/03/2018 (4) 05:32:32.21	21/03/2018 (4)	05:32:32.21	112.6	PB_T1(3)	27	Normal	1	-7746	13	0.0173	0.0022	0.000209	0.000025	69.8	9.1	0.50	0.19	1.179	0.032	0.030	0.012	0.01259	0.00048	0.00680	0.00081	0.550	0.069	1.155	0.032	0.033	0.014	0.00420	0.00016
PB_T1_4	Th-U laser_long.FIN_	21/03/2018 (4) 05:35:46.21	21/03/2018 (4)	05:35:46.21	112.07	PB_T1(4)	27	Normal	1	-7553	13	0.00461	0.00023	0.000076	0.000013	17.7	1.3	0.20	0.17	1.140	0.078	0.042	0.035	0.0166	0.0021	0.00245	0.00043	0.1466	0.0073	1.117	0.076	0.046	0.039	0.00555	0.00070
																																			
PB_T2_0	Th-U laser_long.FIN_	21/03/2018 (4) 05:39:04.91	21/03/2018 (4)	05:39:04.91	108.78	PB_T2	25	Normal	1	-7356	12	0.0657	0.0046	0.00136	0.00017	268	19	3.92	0.54	1.192	0.017	0.0561	0.0062	0.0202	0.0013	0.0440	0.0055	2.09	0.15	1.170	0.016	0.0618	0.0069	0.00673	0.00042
PB_T2_1	Th-U laser_long.FIN_	21/03/2018 (4) 05:42:15.59	21/03/2018 (4)	05:42:15.59	112.21	PB_T2(1)	27	Normal	1	-7165	13	0.0053	0.0021	0.000078	0.000033	21.5	8.4	0.05	0.21	0.7	3.7	-14	21	0.18	0.19	0.0025	0.0011	0.169	0.066	0.7	3.6	-16	23	0.060	0.063
PB_T2_2	Th-U laser_long.FIN_	21/03/2018 (4) 05:48:33.02	21/03/2018 (4)	05:48:33.02	111.86	PB_T2(2)	12	Normal	1	-6754.5	8.7	0.01448	0.00064	0.000151	0.000011	61.6	4.9	0.27	0.43	1.25	0.11	0.016	0.028	0.01037	0.00042	0.00489	0.00035	0.461	0.021	1.23	0.11	0.018	0.030	0.00346	0.00014
PB_T2_3	Th-U laser_long.FIN_	21/03/2018 (4) 05:51:46.80	21/03/2018 (4)	05:51:46.80	110.36	PB_T2(3)	27	Normal	1	-6593	13	0.00500	0.00022	0.0000780	0.0000061	19.6	1.1	-0.09	0.21	1.118	0.055	-0.025	0.032	0.0156	0.0010	0.00253	0.00020	0.1591	0.0069	1.098	0.054	-0.027	0.036	0.00521	0.00034
																																			
GPR_0	Th-U laser_long.FIN_	21/03/2018 (4) 06:25:53.85	21/03/2018 (4)	06:25:53.85	110.56	GPR	26	Normal	1	-4545	13	0.0218	0.0012	0.00779	0.00073	104.3	6.0	27.9	1.6	1.399	0.031	1.221	0.048	0.359	0.042	0.253	0.024	0.693	0.038	1.371	0.030	1.353	0.054	0.120	0.014
GPR_1	Th-U laser_long.FIN_	21/03/2018 (4) 06:29:06.53	21/03/2018 (4)	06:29:06.53	110.62	GPR(1)	25	Normal	1	-4352	12	0.0305	0.0021	0.00506	0.00035	152	11	41.4	3.3	1.455	0.022	1.284	0.039	0.1647	0.0025	0.164	0.011	0.970	0.066	1.424	0.022	1.424	0.043	0.05493	0.00083
GPR_2	Th-U laser_long.FIN_	21/03/2018 (4) 06:32:19.06	21/03/2018 (4)	06:32:19.06	110.26	GPR(2)	26	Normal	1	-4161	13	0.03504	0.00098	0.00462	0.00014	176.7	6.9	50.2	1.5	1.456	0.023	1.365	0.036	0.1324	0.0020	0.1500	0.0045	1.114	0.031	1.425	0.023	1.514	0.040	0.04416	0.00065
